projectid,project_name,project_description,entity_name,entity_current_nt_allocation,latitude,longitude,bay_segment,project_type,project_status,initiation_year,estimated_completion_year,discontinued_year,completion_year,project_costs,estimated_load_reduction
32,Cargill Fertilizer Dedicated Sump At Product Loading Dock,Dock sump to return dock area (approx. 2 acres) runoff to the production process to recover nutrient (approx. 80 mg/l total N). Partnership for Progress Page-HB14. Area treated=2 acres; reduction efficiency supplied by Cargill.,Mosaic,   5-25 K,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,1996.0,1996.0,0.0,1996.0,,
33,Cargill Fertilizer Outfall Structural And Procedural Improvements,"Page HB14. Structural improvements to ditch, increased water reuse, flow reduction, training provided to employees regarding our NPDES permit, Best Management Practices. Area treated=needed; reduction efficiency supplied by Cargill",Mosaic,500K-1M,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,1996.0,1997.0,0.0,1997.0,,
34,IMC-Agrico Company Termination Of Ammonia In Flot Plants-Alafia River,Area treated=needed. Reduction supplied by IMC.,Mosaic,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,
35,IMC-Agrico  Company Shiploading Terminals Stormwater And Spillage,Reductions were primarily accomplished through stormwater collection and treatment and also through spillage control. Area treated=22 acres; reduction efficiency supplied by IMC.,Mosaic,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,1994.0,0.0,1994.0,,
36,CF Industries Product Conveyor System Upgrade,"Product Conveyor System Upgrade Project - Phase 1:  Installation of belt scrapers, product containment hoppers, and paving beneath conveyors; and implementation of administative controls (BMPs). Area treated=needed; reduction efficiency supplied by CF.",Mosaic, 100-500 K,27.927192,-82.435207,Hillsborough Bay,Non-Point Source,Completed,1990.0,1993.0,0.0,1993.0,,
37,CF Industries Improved Dust Suppressant Application On Fertilizer Products,Partnership for Progress Page HB18. Area treated=needed; reduction efficiency supplied by CF.,Mosaic,  50-100 K,27.927192,-82.435207,Hillsborough Bay,Non-Point Source,Completed,1994.0,1994.0,0.0,1994.0,,
38,CF Industries Product Conveyor System Enhancement - Phase 2,Product Conveyor System Enhancements - Phase 2: Includes installation of conveyor enclosure system between warehouse and gantry. Partnership for Progress Page HB18. Area treated=needed; reduction efficiency supplied by CF.,Mosaic,  25-50 K,27.927192,-82.435207,Hillsborough Bay,Non-Point Source,Completed,1997.0,1997.0,0.0,1997.0,,
39,CF Industries Stormwater Management System Project,"Consists of collection and routing of all site stormwater runoff and construction of a lift station, pumping systems, and hyacinth treatment pond to manage up to a 25-year, 24-hour storm event. Area treated=12 acres; treatment area=needed.",Mosaic, 100-500 K,27.927192,-82.435207,Hillsborough Bay,Non-Point Source,Completed,1996.0,1997.0,0.0,1997.0,,
40,CSX Transportation Rockport Terminal Stormwater Management Improvements,"Efficiency citation: Partnership for Progress, Page HB.19.  Several BMPs implemented to reduce contact with product. Area treated=needed; reduction efficiency supplied by CSX.",CSX Transportation,Not Listed,27.916449,-82.417664,Hillsborough Bay,Non-Point Source,Completed,0.0,1997.0,0.0,1997.0,,
44,Plant City Reuse Program,"Plant City has now rerouted the majority of its effluent to CF Industries for process water, with a permitted discharge to East Canal (ultimately Blackwater Creek) year round.",SWFWMD,Not Listed,28.017315,-82.125394,Hillsborough Bay,Non-Point Source,Completed,1997.0,0.0,0.0,0.0,,3.8
55,Lower Sweetwater Creek Stormwater Retrofits,"vegetation enhancement in ditch and CDS unit 
at Bray Rd.",Hillsborough County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2012.0,0.0,2012.0,,
56,Brushy Creek Wetland Enhancement Project,"Enhanced wetland system adjacent and parallel to Brushy Creek to provide improved water quality and wildlife habitat.  The project, consisting of two constructed wetlands, is located north and south of Ehrlich Road.",Hillsborough County,500K-1M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1992.0,1993.0,0.0,1993.0,,
61,Safety Harbor Stormwater Retrofit Project,"Reconstruction of on-line borrow pit in Mullet Creek. Year 2000 Update: Delete this from Pinellas County's projects, it belongs to the City of Safety Harbor. Treatment area=needed.",City of Safety Harbor,  25-50 K,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,1994.0,1994.0,0.0,1995.0,,
73,Lake Tarpon Pond Creation/Rehabilitation (Basin 23),"No land available to create a full pond, but may be possible to rehabilitate area for some treatment.  Either alum treatment or natural treatment in wetland.",Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Discontinued,2007.0,2010.0,2010.0,0.0,,
74,Lake Tarpon Pond Creation (Basin 63),Pond creation (This is one of the highest loading areas to Lake Tarpon.  Uncertain as yet as to whether there is sufficient room for a full pond - may require alum treatment). Year 2000 Update: Currently planned for initiation in 2003; completion in 2006.,Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Discontinued,2007.0,2010.0,2010.0,0.0,,
77,Lake Maggiore Alum Injection,Residential stormwater runoff from 1449 acres will be treated using alum injection in golf course lakes prior to discharge to Lake Maggiore.   Treatment Efficiency citation: (ERD Report),City of St. Petersburg,   3M-5M,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1995.0,1998.0,0.0,1998.0,,
80,Mirror Lake Stormwater Retrofit,The City has completed the installation and placed into operation a stormwater pretreatment system for runoff entering Mirror Lake that discharges into Tampa Bay. (ERD Report),City of St. Petersburg,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,1998.0,2000.0,0.0,2000.0,,
81,Pinellas Park Channel 2 Alum Stormwater Retrofit Project,Wet detention with filtration and alum.,City of Pinellas Park,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,1998.0,,
92,Tropicana Point Discharge To Deep Well Injection,Tropicana currently discharges approximately 60 lbs. of nitrogen each day into the Manatee River.  Tropicana is investigating the feasibility of removing the discharge from the river and disposing its effluent via deep well injection. Funded by Tropicana.,Manatee County,500K-1M,27.48818,-82.554194,Manatee River,Non-Point Source,Completed,1998.0,0.0,0.0,2003.0,,
112,South Cross Bayou Reuse,Wastewater reuse will be expanded to reduce contribution to Tampa Bay by implementing a program to provide reclaimed water in areas where alternative sources to potable water are not available.,Pinellas County,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Point Source,Completed,1998.0,2008.0,2006.0,0.0,,43.875
116,Development and implementation of a City-wide plan for expansion of reclaimed water service,Clearwater is currently developing a city-wide plan for its reclaimed water system which will ultimately redirect 16.1 mgd of effluent currently entering Tampa Bay.,City of Clearwater,Not Listed,28.012172,-82.609611,Old Tampa Bay,Point Source,Completed,2001.0,2005.0,0.0,0.0,,19.159
122,Lowry Park Zoo Stormwater Rehabilitation,Construction of a 2 acre wet detention system to provide limited treatment of runoff from a 100 acre basin. Project provides educational opportunities through the integration with 300 exhibits.,SWFWMD, 250-500 K,28.013639,-82.467792,Hillsborough Bay,Non-Point Source,Completed,1997.0,2002.0,0.0,2002.0,,
123,McKay Bay (Eastshore Commerce Park) (Melbourne Pond) Drainage Basin Rehabilitation,The project treats stormwater from approximately 1000 acres of the watershed that discharges into McKay Bay and ultimately Tampa Bay.,Tampa Bay Water/SWFWMD,   1M-3M,27.962889,-82.347508,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2006.0,,
126,Lake Maggiore Dredging Project,"Dredge, dewater and dispose of approximately 1.53 million cubic yards of nutrient rich lake bottom sediments.  Year 2000 Update; Commence with dredging in Jan. 2001 and complete 3 years thereafter.",City of St. Petersburg,   >10M,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,2000.0,2007.0,0.0,2006.0,,
127,Clearwater/Oldsmar Reclaimed Water Interconnect,The cities of Clearwater and Oldsmar will provide a combined total of 3.8 million gallons per day of reclaimed water produced at city water reclamation facilities.,Pinellas County,  5M-10M,28.012172,-82.609611,Old Tampa Bay,Point Source,Completed,2000.0,2006.0,0.0,0.0,,4.522
128,"Pinellas Park Reclaimed Water System, Phase IV",This project represents a further phase of construction of reclaimed water infrastructure within the City of Pinellas Park as the city implements its reclaimed water program.,City of Pinellas Park,500K-1M,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,0.0,2004.0,0.0,0.0,,
134,Lake Tarpon Septic Tank Removal,"Treatment efficiency - 100% per Eric 12/02. Need 
current load.",Pinellas County,   1M-3M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Discontinued,2008.0,0.0,2012.0,0.0,,
135,Lake Tarpon Stormwater Treatment (Areas 44/47),Pinellas County is currently investigating options for treating stormwater from two of the highest loading subbasins in the Lake Tarpon watershed.,Pinellas County, 250-500 K,28.082799,-82.702675,Old Tampa Bay,Non-Point Source,Completed,2011.0,2014.0,0.0,2014.0,,
149,Assist businesses in implementing site management practices to reduce stormwater runoff,The City of Tampa will develop landscape guidelines to reduce runoff from commercial sites and make this information available to the development community. Year 2000 Update: No change. Text only.,City of Tampa,Not Listed,27.8671474492,-82.3578028485,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
158,South Tampa Area Reclaim Project (STAR),The City of Tampa is also examining the use of some flow from the Howard F. Curren AWTP for irrigation in the STAR Project (South Tampa Area Reclaim Project).,City of Tampa,   >10M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,2001.0,2005.0,0.0,0.0,,
194,Continue support for FY&N,"Will continue to seek opportunities to promote 
FY&N concepts through public education, 
including brochures and handout information, 
promotion of the program during routine site 
visits and public interaction",City of Clearwater,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
195,Assist business with implementation of BMP's,NULL,City of Clearwater,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
196,Promote use of BMP's on City-owned facilities,NULL,City of Clearwater,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
198,Encourage alternative stormwater treatment methods,"Encourages alternative stormwater treatment methods, such as in-line stormwater retrofit structures for the removal of floating trash and organic debris, and regional stormwater facilities which employ â€˜treatment trainâ€™ designs",City of Clearwater,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
203,Expansion of central sewer collection,"The City of Clearwater continues to implement 
a program for the expansion of central sewer 
collection. Feasibility study scheduled for 
2001. 2003 update - project done. Feasibility 
study update in 2010. The complete build-out 
of this project wil",City of Clearwater,   >10M,27.8671474492,-82.3578028485,,Non-Point Source,Planned,2001.0,0.0,0.0,0.0,,
210,Sewer System Evaluation Study and Self Audit Program,"Capital improvement plan to improve its 
wastewater collection system by reducing 
infiltration of water into the system for Phase 
1.",City of Clearwater,   1M-3M,27.8671474492,-82.3578028485,,Non-Point Source,Completed,0.0,1999.0,0.0,0.0,,
220,Apollo Beach Cargill Park - Land Acquisition,NULL,Hillsborough County,   1M-3M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,1996.0,0.0,1996.0,,
253,Balm Scrub - Land Acquisition,"current use - ag. Field and row; future - single 
family - no reduction - Misty",Hillsborough County,   3M-5M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,1999.0,1999.0,0.0,1997.0,,
254,Bell Creek Preserve - Land Acquisition,future use - multifamily residential,Hillsborough County,   1M-3M,27.860109,-82.279682,Not Listed,Non-Point Source,Completed,1995.0,1997.0,0.0,1997.0,,
255,Blackwater Creek - Land Acquisition,current use - ag. Pasture; future use - single family residential - Misty,Hillsborough County,   3M-5M,28.12855,-82.154224,Hillsborough Bay,Non-Point Source,Completed,1997.0,1999.0,0.0,1997.0,,
256,Boy Scout - Land Acquisition,future use - medium density residential - Misty,Hillsborough County,  50-100 K,27.880411,-82.199707,Hillsborough Bay,Non-Point Source,Completed,1995.0,1999.0,0.0,1999.0,,
259,Bullfrog Creek Scrub - Land Acquisition,future use - multifamily residential - Misty,Hillsborough County,   3M-5M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,1996.0,1996.0,0.0,0.0,,
260,Cockroach Creek Greenway - Land Acquisition,"current use-ag pasture, future use-single family residential; no reduction - Misty",Hillsborough County,   1M-3M,27.8671474492,-82.3578028485,,Non-Point Source,Completed,2001.0,2001.0,0.0,0.0,,
261,Cypress Creek Preserve West/Phase 1 - Land Acquisition,"current use-ag pasture, future use-single family residential; no reduction - Misty",Hillsborough County,  5M-10M,28.041175,-82.365839,Not Listed,Non-Point Source,Completed,1996.0,2001.0,0.0,0.0,,
264,Golden Aster Scrub - Land Acquisition,future use-industrial - Misty,Hillsborough County,   3M-5M,27.8671474492,-82.3578028485,,Non-Point Source,Completed,1995.0,1998.0,0.0,0.0,,
265,Massie/Zack (McIntosh) - Land Acquisition,McIntosh Park a 400-acre ELAPP purchase.,Hillsborough County,   1M-3M,28.071189,-82.129162,Hillsborough Bay,Non-Point Source,Completed,1998.0,1998.0,0.0,0.0,,
269,Rhodine Scrub (FKA Rhodine Road) Land Acquisition,future use-medium density residential - Misty,Hillsborough County,  50-100 K,27.826752,-82.289782,Not Listed,Non-Point Source,Completed,1997.0,1997.0,0.0,0.0,,
270,The Kitchen (FKA Bullfrog/Kitchen/Gibson) Land Acquisition,"current use-landfill, future use-single family residential - Misty",Hillsborough County, 250-500 K,27.8671474492,-82.3578028485,,Non-Point Source,Completed,1997.0,1997.0,0.0,0.0,,
272,Violet Cury Nature Preserve - Land Acquisition,future use-medium density residential - Misty,Hillsborough County,   1M-3M,28.095985,-82.438696,Not Listed,Non-Point Source,Completed,1995.0,1995.0,0.0,0.0,,
273,Alafia River Corridor - Land Acquisition,future uses; 923.4=single family; 77.8=medium density; 2091=single family; 929=single family - Misty,Hillsborough County,   >10M,27.826852,-82.132505,Not Listed,Non-Point Source,Completed,1994.0,1999.0,0.0,0.0,,
284,Continue support for Florida Yards & Neighborhoods and similar pollution prevention programs.,Continue support for Florida Yards & Neighborhoods and similar pollution prevention programs. 2003 update in desc file,Hillsborough County,Not Listed,27.8671474492,-82.3578028485,Old Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
294,Hillsborough County Reclaimed Aquifer Storage and Recovery (ASR),Aquifer storage and recovery of reclaimed water from the Northwest Regional Water Reclamation Facility to enhance the reuse capacity. 2003 update: in desc file.,Hillsborough County,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,0.0,2015.0,2015.0,0.0,,4.025
298,SCADA for monitoring pump station failure,2003 update in desc file,Hillsborough County,  5M-10M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2006.0,2011.0,0.0,2011.0,,
299,Hillsborough County Watershed Management Plans,NULL,Hillsborough County,Not Listed,27.8671474492,-82.3578028485,,Non-Point Source,Completed,0.0,0.0,0.0,2002.0,,
349,Clean Marina Program,"Update pending receipt of information on the Good 
Mate Marina Program (which Pinellas is participating 
in). 2003 update-no additional information provided.",Pinellas County,Not Listed,27.8671474492,-82.3578028485,,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
367,Urban retrofit projects,"The Local Stormwater Ordinance has been amended to require redevelopments in excess of 3000 square feet to retrofit the site for stormwater treatment, for the respective portion on the site being developed.",City of St. Petersburg,  50-100 K,27.79,-82.442,Middle Tampa Bay,Non-Point Source,Completed,1998.0,0.0,0.0,2004.0,,
425,Hillsborough County Reclaimed Aquifer Storage and Recovery (ASR),Aquifer storage and recovery of reclaimed water from the Northwest Regional Water Reclamation Facility to enhance the reuse capacity.,FDEP,Not Listed,27.8671474492,-82.3578028485,,Point Source,Completed,0.0,0.0,2005.0,0.0,,9.66
456,Prescribed burn on parcels Northwest A & B,cargill-neb.com;,Mosaic,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
457,Reclaimed water to cool boilers,Reclaimed water pipeline from Falkenburg and South County wastwater treatment plants to Cargill Fertilizer will supply up to 1.2 MGD of reclaimed water to cool boilers.,Mosaic,   >10M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,0.0,2002.0,0.0,0.0,,
461,Tampa Bay Water Regional Surface Water Treatment Plant (Alafia River),"Attached article from Florida Specifier from Nov. 
2002 describing the Plant.",Tampa Bay Water,   >10M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2000.0,2003.0,0.0,2003.0,,
462,Adding new transplant sites to encourage scallop growth,NULL,TBEP,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,2003.0,0.0,0.0,0.0,,
465,Cliff Stephens Park Stormwater Retrofitting,NULL,City of Clearwater,500K-1M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2001.0,2002.0,0.0,2002.0,,
470,Lake Seminole clean-up,"850,000 cubic yards of sediment will be removed from the bottom of the lake.",Pinellas County,   >10M,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Planned,2006.0,2016.0,0.0,0.0,,
471,Joe's Creek @ 62nd Avenue,100+ acres purchased primarily for preservation purposes.  A small portion was purchased for drainage improvements.,Pinellas County,500K-1M,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Planned,1990.0,2013.0,0.0,0.0,,
478,Sawgrass Lake Improvement / Restoration,"Site clean up and restoration including limited 
water quality monitoring program at select 
stations. 
http://www.swfwmd.state.fl.us/projects/sawgr
ass/habitat.php",SWFWMD,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Planned,2011.0,2013.0,0.0,0.0,,
482,Alligator Lake/Ruth Eckerd Wetland Creation,"Approx. 15 acre exotic removal and wetland 
creation on property located behind Ruth 
Eckerd Hall. 2003 Update-in design, treatment 
size not determined.",City of Clearwater,Not Listed,27.976967,-82.703099,Old Tampa Bay,Non-Point Source,Completed,2004.0,2007.0,0.0,2008.0,,
484,Mobbly Bayou Wilderness Preserve Restoration,"Project involves survey, design, permitting and 
construction for comprehensive estuarine 
habitat restoration for Mobbly Bayou.   Project 
location: 28 01 29 Nlat; 82 39 29 Wlong.",Pinellas County,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2009.0,2020.0,0.0,2020.0,,
496,McKay Bay Watershed Projects,Multiple projects.,Hillsborough County,Not Listed,27.936119,-82.423841,Hillsborough Bay,Non-Point Source,Completed,0.0,2006.0,0.0,2006.0,,
500,Little Manatee CWM,"Four-Corners mine has applied for 2 NPDES 
industrial outfalls",Mosaic,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
501,Palmetto Estuary Preserve Habitat Restoration (Phase I),"Various coastal habitats have been enhanced/restored, inclusive of estuarine wetlands, tidal channels, transitional and upland communities. Will also provide some stormwater polishing.",SWFWMD,   1M-3M,27.512202,-82.56375,Manatee River,Non-Point Source,Completed,2000.0,2000.0,0.0,2000.0,,
507,Clam Bayou Stormwater Treatment and Habitat Restoration (phase 3),Design and construction of an 87 acre habitat restoration project and implementation of a regional stormwater treatment project.,SWFWMD,   3M-5M,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,2005.0,2008.0,0.0,2012.0,,
534,Palm River Restoration,Activities may include regrading of seciton of shoreline ad filling deep portions of river w/spoil material.,SWFWMD,   3M-5M,27.949071,-82.385384,Hillsborough Bay,Non-Point Source,Completed,2003.0,2012.0,0.0,2012.0,,
545,Alligator Lake Restoration,"Project involves survey, design, permitting and construction for eleven acres wetland creation and habitat improvement project with associated park",Pinellas County,500K-1M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2007.0,2011.0,0.0,2011.0,,
570,Hillsborough County Adopt-A-Pond,"Teaches citizens to manage ponds, reduce stormwater pollution and increases habitat.",Hillsborough County,  25-50 K,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Ongoing,1993.0,0.0,0.0,0.0,,
573,Lake Seminole Watershed Pollution Reduction Project,"The project consists of constructing up to five 
aluminum sulfate stormwater pollution management 
systems and a Lake Seminole Bypass Canal 
diversion system.",Pinellas County,   1M-3M,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Discontinued,0.0,0.0,2009.0,0.0,,
580,Water Resources Education Programs for Public Schools,"The Florida Aquariums Water Resources Community Education and Outreach Program focuses on educating youth and 
teachers about regional water resources and watersheds.",SWFWMD,500K-1M,27.79,-82.442,All Segments,Non-Point Source,Completed,2003.0,2006.0,0.0,0.0,,
589,Water Conservation - Toilet Rebates,NULL,SWFWMD,   1M-3M,27.79,-82.442,All Segments,Non-Point Source,Completed,0.0,2021.0,2022.0,2021.0,,
591,Hillsborough Lake Management Program (LaMP),"Program provides technical assistance to lake owners to develop scientifically sound management strategies and 
improve water quality. Also funds Lakewatch to have increased presence and provide technical advice.",Hillsborough County,  50-100 K,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Ongoing,2000.0,2020.0,0.0,0.0,,
593,Bishop Harbor Road - Land Acquisition,Part of the CARL project. Will be managed by DEPs Charlotte Harbor Aquatic Buffer Preserve.,SWFWMD, 250-500 K,27.547346,-82.58009,Terra Ceia Bay,Non-Point Source,Completed,2000.0,0.0,0.0,2007.0,,
600,Lake Egypt Improvement Project,Evaluation of stormwater pollution to the lake and various pollution control devices and development of a stormwater model for the sub-basin.,SWFWMD,Not Listed,28.01186,-82.49221,Hillsborough Bay,Non-Point Source,Completed,2001.0,0.0,0.0,0.0,,
601,Broadway Outfall Stormwater Retrofit Project,"Retrofit an approximately 132.4 acre drainage basin.  The project consists of a CDS unit in series with an excavated sediment sump immediately downstream, followed by a linear marsh system.",SWFWMD,500K-1M,28.02665,-82.391748,Hillsborough Bay,Non-Point Source,Completed,1999.0,2005.0,0.0,2001.0,,
611,Informational Kiosk,"A large kiosk on Egmont Key chronicling the history, geology and environmental threats facing this island.  Project never completed.",TBEP,   < 5 K,27.59344,-82.675961,Lower Tampa Bay,Non-Point Source,Completed,1998.0,1999.0,0.0,0.0,,
671,Shell Key Preserve Management Plan,Management plan in Pinellas County hard copy file. 2003 Update: This update was completed. It will be updated every 5 years,Pinellas County,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,2002.0,2007.0,0.0,2007.0,,
674,Brownfields Redevelopment Program in Cross Bayou Watershed,"The Board of County Commissiooners adopted a resolution July 1, 2003 adopting program guidelines for a Brownfields Redevelopment Program. 2003 Update. Don't see any necessary updates at this time - we just started.",Pinellas County,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Discontinued,2003.0,0.0,2006.0,0.0,,
679,City of Largo Reclaimed Water (Reuse),City of Largo (From Report) - Spoke to Brian Dean of the City of Largo Plant.  He said that the plant capacity did increase to 18 MGD (1997).  Reclaimed water (reuse) is hoped to be at 70% by 2005 and 90 % by 2010.  No changes in nutrient loading.,City of Largo,Not Listed,28.012172,-82.609611,Old Tampa Bay,Point Source,Completed,0.0,0.0,0.0,1997.0,,19.278
680,City of Lakeland Reclaimed,"City of Lakeland (from Report) Mr. Don Shculender of Lakeland was contacted in 2000.  He stated that out of 10 MGD, 25%-33% will goto reuse.  There is a possiblity that the city is expanding their power plant and will take all the effluent and go to 100%.",City of Lakeland,Not Listed,28.019236,-82.21548,Hillsborough Bay,Point Source,Completed,0.0,0.0,2008.0,2000.0,,21.62
681,Bradenton Reclaimed,Bradenton - Mr. J. Cumming. Aug 2000. Inclusion of Tropicana Products as a major user of reclaimed water (1.2 MGD).  Other industrial user have begun discussion regarding use of 2-4 MGD of reclaimed water.,City of Bradenton,Not Listed,27.499135,-82.579731,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2000.0,,9.24
